year,month,day,hour,min,sec,lon,lat,depth,mag
1954,10,31,21,31,35.75,174.83,-42.78,33,3.745
1954,11,2,17,5,52.37,169.58,-43.63,33,3.813
1954,11,13,23,10,5.43,173.93,-41.78,33,3.949
1954,12,7,13,2,0.58,176.62,-38.43,33,3.099
1954,12,9,9,11,12.19,175.35,-39.08,12,3.303
1954,12,13,18,4,22.47,173,-42.19,33,3.507
1954,12,25,21,36,5.8,176.23,-39.79,33,3.686
1954,12,28,0,58,11.18,179.53,-37.28,33,4.469
1954,12,28,8,21,16.96,177.54,-39.96,33,3.762
1955,1,11,17,53,26.34,178.24,-38.69,33,4.527
1955,1,14,21,58,59.89,179.18,-36.88,33,4.527
1955,1,19,7,15,0,176.2,-38.1,25,4.5
1955,2,3,15,32,48.49,174.23,-38.51,33,3.584
1955,2,5,11,3,7.1,176.69,-39.89,12,3.643
1955,2,6,16,49,21.48,176.94,-37.77,12,4.629
1955,2,8,10,38,57.5,175.68,-39.89,33,4.877
1955,2,10,14,51,7.3,174.21,-40.9,33,3.482
1955,2,13,15,7,0,168.7,-45,25,4.5
1955,2,16,1,9,46.71,174.81,-40.16,33,3.772
1955,2,25,21,36,21.7,172.35,-41.07,12,3.839
1955,2,27,8,10,0,176.1,-40.2,25,4.5
1955,2,28,11,30,0,176.8,-38,25,4.5
1955,3,2,12,19,8.59,175.95,-41.14,12,3.474
1955,3,17,17,12,54.61,175.66,-41.29,33,3.915
1955,3,22,1,7,23.11,173.47,-38.93,33,3.854
1955,4,19,1,52,56.85,173.2,-41.62,12,4.612
1955,4,30,9,5,1.11,170.95,-42.78,33,3.38
