y,month,d,h,minute,s,lon,lat,depth,mw
2006,12,19,11,3,0.016,177.4762,-36.5783,286.16,3.5768
1963,8,7,15,31,29.93,178.48,-35.65,286,3.6101
1957,7,16,15,3,30.58,178.03,-35.35,286,3.7376
1969,3,28,13,4,37.37,176.77,-37.14,286,3.8314
1969,10,23,19,29,29.09,176.94,-36.8,286,3.9803
2003,7,15,21,39,51.541,178.0433,-35.8967,285.9727,3.9936
2002,11,25,19,17,29.239,175.2962,-38.4388,285.95,4.0445
2015,10,16,4,13,37.827,179.2675,-35.1677,285.9294,4.5015
1994,11,17,22,59,2.604,176.8826,-36.8796,285.5641,4.3638
1988,11,21,13,46,26.855,176.1269,-37.8071,285.1986,4.0301
1968,1,24,3,36,4.99,176.91,-37.27,285,3.5064
1970,10,18,20,47,1.23,178.52,-36.18,285,3.638
1986,9,25,18,49,43.34,176.38,-37.79,285,3.8083
1986,6,20,23,26,34.88,177.38,-36.22,285,4.1612
1942,11,15,0,12,42,176.2,-38.3,285,4.8
1958,12,10,7,3,3.98,176.72,-37.27,285,5.3105
1942,10,6,14,16,0,180.2,-33.7,285,7.1
1987,6,10,3,37,33.621,175.9393,-38.0959,284.6767,3.5327
2010,9,29,4,14,47.922,177.2584,-36.757,284.6185,5.4
2015,8,13,11,55,52.678,176.7511,-36.9629,284.424,3.6859
1989,9,28,10,40,7.819,176.1341,-37.8035,284.3995,4.0616
2010,9,23,20,13,4.483,177.2717,-36.3757,284.28,3.995
2000,1,20,18,30,25.087,176.1712,-37.7421,284.1727,3.7746
1971,11,2,11,25,20.02,176.86,-36.95,284,3.5027
1979,10,29,16,59,50.3,177.48,-36.78,284,3.5894
1969,5,17,6,38,51.74,176.02,-37.8,284,3.8994
1977,1,29,17,59,20.17,176.7,-37.38,284,3.9188
